"Beat_class","mu_beta0","sigma_beta0","mu_beta1","sigma_beta1","alpha_sigma2","beta_sigma2"
"North",884.75,100,-43.5833333333334,100,2,2082.67996453901
"Northeast",1024.5,100,-34.6666666666666,100,2,2402.02836879433
"Eastside",240.958333333333,100,40.2083333333333,100,2,459.051196808511
"Clear Lake",479.5,100,-2,100,2,543.595744680851
"Southeast",711.541666666667,100,43,100,2,1172.25443262411
"South Gessner",496.291666666667,100,39.6249999999999,100,2,655.664671985816
"Central",934.125,100,145.458333333333,100,2,5898.3827570922
"Southwest",660.083333333333,100,-14.25,100,2,1456.40336879433
"Westside",2030.125,100,-2.29166666666674,100,2,5483.81892730496
"South Central",486.791666666667,100,107,100,2,3615.7225177305
"Northwest",551.25,100,1.66666666666663,100,2,973.209219858156
